2026-02-03 17:13:34,909 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,913 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,935 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:34,940 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:37,433 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:15:47,547 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:17:48,032 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:20:56,849 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:20:56,850 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:20:59,370 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:21:57,927 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:30:47,095 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Received signal 2, shutting down...
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:31:27,435 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:31:27,439 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:40:57,851 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 161 msgs, person 16 at (-148, 138), active=1, passive=3
2026-02-03 17:40:59,852 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 178 msgs, person 16 at (-154, 137), active=1, passive=3
2026-02-03 17:41:01,887 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 204 msgs, person 16 at (-125, 221), active=1, passive=1
2026-02-03 17:41:03,889 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 154 msgs, person 16 at (-120, 237), active=1, passive=2
2026-02-03 17:41:05,894 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 146 msgs, person 16 at (-115, 244), active=1, passive=1
2026-02-03 17:41:07,895 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 166 msgs, person 16 at (74, 304), active=0, passive=2
2026-02-03 17:41:09,898 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 103 msgs, person 27 at (-47, 445), active=0, passive=2
2026-02-03 17:41:11,901 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 88 msgs, person 28 at (-72, 380), active=0, passive=1
2026-02-03 17:41:13,935 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 96 msgs, person 29 at (-201, 402), active=0, passive=1
2026-02-03 17:41:15,937 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 111 msgs, person 30 at (-180, 499), active=0, passive=2
2026-02-03 17:41:17,942 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 165 msgs, person 31 at (-246, 327), active=1, passive=1
2026-02-03 17:41:19,944 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 142 msgs, person 32 at (-173, 229), active=1, passive=1
2026-02-03 17:41:21,949 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 167 msgs, person 32 at (-91, 214), active=1, passive=3
2026-02-03 17:41:23,950 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 151 msgs, person 32 at (-91, 214), active=1, passive=1
2026-02-03 17:41:26,018 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 171 msgs, person 32 at (-173, 200), active=1, passive=2
2026-02-03 17:41:26,494 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:44:16,926 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:44:16,931 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:45:11,362 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:45:11,363 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:45:24,820 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 1 msgs, person 1 at (-377, 463), active=0, passive=0
2026-02-03 17:45:26,824 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 55 msgs, person 1 at (-182, 464), active=0, passive=1
2026-02-03 17:45:28,855 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 109 msgs, person 1 at (13, 463), active=0, passive=2
2026-02-03 17:45:30,857 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 117 msgs, person 3 at (-165, 316), active=0, passive=1
2026-02-03 17:45:32,889 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 106 msgs, person 3 at (45, 316), active=0, passive=1
2026-02-03 17:45:34,893 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 122 msgs, person 5 at (-85, 333), active=0, passive=1
2026-02-03 17:45:36,898 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 91 msgs, person 6 at (-91, 374), active=0, passive=1
2026-02-03 17:45:38,900 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 108 msgs, person 6 at (-253, 374), active=0, passive=2
2026-02-03 17:45:40,904 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 157 msgs, person 7 at (-329, 370), active=0, passive=2
2026-02-03 17:45:42,936 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 131 msgs, person 8 at (-27, 477), active=0, passive=2
2026-02-03 17:45:44,944 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 150 msgs, person 9 at (76, 410), active=0, passive=1
2026-02-03 17:45:46,945 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 110 msgs, person 11 at (-124, 511), active=0, passive=1
